id,place_name,is_restaurant,categories,average_rating,rate_count,granular_category,lat,lng,place_id
1,Shawarma Alaz,RESTAURANT,Sandwich|Fast Food|Shawarma,3,3,restaurants,24.6451181,46.7176402,ChIJAUrpSq0FLz4RVPdqQsL3jH4
2,Eben Ezar,RESTAURANT,Asian|Japanese,3.2,5,restaurants,24.6466308,46.7176585,ChIJ8VB3wFIELz4RYKzNXvz5MhY
3,Chowking,RESTAURANT,Noodles,4.5,305,restaurants,24.646194,46.717444,ChIJ8VB3wFIELz4RYKzNXvz5MhY
4,100 islands delights,RESTAURANT,Asian|Seafood,4.4,239,restaurants,24.6463337,46.7173288,ChIJ8VB3wFIELz4RYKzNXvz5MhY
5,CUSINA Cafe,RESTAURANT,Coffee,4.7,19,restaurants,24.6456276,46.71711,ChIJOYtO2lIELz4Rkh25zR8ZjfA
6,Jollibee,RESTAURANT,Fast Food|American,4.7,167,restaurants,24.64646655,46.71722455,ChIJ8VB3wFIELz4RYKzNXvz5MhY
7,Lapaz Batchoy,RESTAURANT,Grill|Asian|Seafood|Noodles,4.3,70,restaurants,24.646476,46.71719,ChIJ8VB3wFIELz4RYKzNXvz5MhY
8,Sushi Cutie,RESTAURANT,Asian,5,1,restaurants,24.6464123,46.7166802,ChIJKwIR_VIELz4RfQShDGjC-fE
9,Uncle Majid,RESTAURANT,Grill|Asian|Seafood|Noodles,4.5,19,restaurants,24.6469306,46.7168046,ChIJ11ro-FIELz4RHJu9SRtKXe0
10,CUSINA,RESTAURANT,Grill|Seafood,3.9,7,restaurants,24.6463114,46.7166197,ChIJKwIR_VIELz4RfQShDGjC-fE
11,Sushi Cutie,RESTAURANT,Asian,1,1,restaurants,24.6463114,46.7166197,ChIJKwIR_VIELz4RfQShDGjC-fE
12,Soft Stream Sushi,RESTAURANT,Asian,5,3,restaurants,24.6463114,46.7166197,ChIJKwIR_VIELz4RfQShDGjC-fE
13,Manga Al Zaeem For Juices,RESTAURANT,Desserts|Beverages|Juices,3.8,113,restaurants,24.6379299,46.7205781,ChIJ-S_9XLAFLz4R5pMd6Geb-i8
14,Classic Restaurant,RESTAURANT,Arabic|Indian,4.1,203,restaurants,24.64002322,46.71721662,ChIJL9BYdq4FLz4RsVxAfXcBSOA
15,Jareer Sweet,RESTAURANT,Desserts,4.5,37,restaurants,24.635669,46.71465,ChIJcdJvR68FLz4R9MuyFdq-Y-k
16,BANA,OTHER,Beauty &amp; Perfume,0,0,beauty,24.633701,46.7169456,ChIJW-YdCaUFLz4RPSi4KcmOOSI
17,Jasmine restaurant,RESTAURANT,Sandwich|Fast Food|American|Breakfast,3.8,32,restaurants,24.6307508,46.7172575,ChIJJ-LG9aQFLz4RlTu64Tzjujg
18,Delta pharmacy,OTHER,Pharmacy,4.7,148,pharmacies,24.660926,46.725106,ChIJPRNk5UYELz4RvAhTfJVpkdc
19,Adam pharmacy,OTHER,Pharmacy,4.8,274,pharmacies,24.650239,46.706105,ChIJm5ylz_kELz4RnlfNO34A9aQ
20,Al Rasheed Pastries,RESTAURANT,Desserts,4.5,35,restaurants,24.651384,46.706471,ChIJfdUWcfcELz4Rdx_cbWRQIDM
21,DNP,OTHER,Health &amp; Wellness,5,5,health_and_wellness,24.6618024,46.7294133,ChIJSZ7JmjgELz4R_di6JRHyMJA
22,Knafet Al Bagajati,RESTAURANT,Desserts|Arabic|American,5,4,restaurants,24.6578829,46.7102456,ChIJI5TZFF8ELz4R_dIXPvftc2w
23,Saadeddin pastry,RESTAURANT,Desserts|Arabic|Bakery|Ice Cream,4.4,322,restaurants,24.6578829,46.7102456,ChIJI5TZFF8ELz4R_dIXPvftc2w
24,Mehamar w Meshmar,RESTAURANT,Sandwich|Arabic|Lebanese,3,2,restaurants,24.65801685,46.71026321,ChIJI5TZFF8ELz4R_dIXPvftc2w
25,Alharfoosh,RESTAURANT,Fast Food|Arabic,0,0,restaurants,24.65801685,46.71026321,ChIJI5TZFF8ELz4R_dIXPvftc2w
26,Rihanna Of the house,RESTAURANT,Arabic,3.6,7,restaurants,24.65801685,46.71026321,ChIJI5TZFF8ELz4R_dIXPvftc2w
27,ANJAPPAR,RESTAURANT,Fast Food|Indian,4.3,361,restaurants,24.6619838,46.7295868,ChIJmZNIDYkDLz4R1Z_nmBxNl7o
28,Furan Al Dayaa,RESTAURANT,Sandwich|Arabic|Bakery,4.5,1170,restaurants,24.662272,46.729495,ChIJNe_FvTgELz4RjI64lVzheXQ
29,Starbucks®,RESTAURANT,Desserts|Bakery|Beverages|Coffee|Breakfast|Roastery,4.4,413,restaurants,24.66256968,46.72981895,ChIJNe_FvTgELz4RjI64lVzheXQ
30,NG Beauty,OTHER,Beauty &amp; Perfume,0,0,beauty,24.6404235,46.7027962,ChIJd7fE9P0ELz4RDUkM3vKxxXI
31,Herfy,RESTAURANT,Sandwich|Fast Food|Burgers,4.3,559,restaurants,24.637908,46.703138,ChIJz3SCMwIFLz4RmbzvnNYAk90
32,HungerStation Market,OTHER,Supermarkets,4.7,7679,darkstores,24.665707,46.728111,ChIJfz5AhkAELz4RDtan6zxHkJM
33,Bab Sharqi Coffee,RESTAURANT,Desserts|Beverages|Coffee|Juices,4.5,26,restaurants,24.644532,46.700351,ChIJ1ZGyW_sELz4RTkcAXbqPlLQ
34,Everyday Coffee Roastery,RESTAURANT,Desserts|Beverages|Coffee,4.4,1955,restaurants,24.6658529,46.7284382,ChIJW9a_fkAELz4RM_Mu5N8K1sk
35,Methaas Bakery &amp; Desserts,RESTAURANT,Fast Food|Desserts|Bakery|Indian,0,0,restaurants,24.6289679,46.7393167,ChIJZYOC3uUFLz4Rw5zx3GgnLQQ
36,Kudu,RESTAURANT,Sandwich|Fast Food|Grill|Burgers|Breakfast,4.2,377,restaurants,24.666438,46.724525,ChIJW6Li4kEELz4RDTDAZ6EaDSs
37,Alkhafeef,RESTAURANT,Grill|Arabic|Bakery,4.4,111,restaurants,24.66645625,46.7246701,ChIJW6Li4kEELz4RDTDAZ6EaDSs
38,Juice Time,RESTAURANT,Beverages|Juices,4.6,580,restaurants,24.665279,46.7314387,ChIJK-CGxD4ELz4RfKZsNZThX10
39,Maestro Pizza,RESTAURANT,Fast Food|Italian|International|Pizza,4.3,290,restaurants,24.66614,46.7308,ChIJu-KH_j4ELz4RJ9AOEeQRIJw
40,Pinzatta,RESTAURANT,Sandwich|Fast Food|Italian|Healthy|Pizza,4.2,25,restaurants,24.66614135,46.7308491,ChIJu-KH_j4ELz4RJ9AOEeQRIJw
41,Mad Pizza,RESTAURANT,Desserts|Italian|American|Beverages|International|Pizza,3.9,50,restaurants,24.6661706,46.7309242,ChIJu-KH_j4ELz4RJ9AOEeQRIJw
42,Red Chilli,RESTAURANT,Grill|Seafood|Indian,4.5,233,restaurants,24.665103,46.710423,ChIJg2nfvWEELz4R3pJPlqd98O0
43,Red Cherry For Sweets,RESTAURANT,Desserts|Indian,4.6,218,restaurants,24.66536106,46.71036925,ChIJsah7lGEELz4RH3JOHpE2KV0
44,Hamburgini Burger,RESTAURANT,Sandwich|Burgers,4.1,1422,restaurants,24.668276,46.730204,ChIJjWl44D8ELz4Ru_JK1oUrOiE
45,Green Health,OTHER,Pharmacy,4.8,79,pharmacies,24.6574337,46.7008237,ChIJBazwFI0ELz4RQiONKjAnuTE
46,Eletna Restaurant,RESTAURANT,Sandwich|Beverages|Falafel,5,3,restaurants,24.6675753,46.7333194,ChIJw3QygD4ELz4RjP4Gp0FiGrc
47,Kaaket Falafel,RESTAURANT,Sandwich|Fast Food|Arabic|Egyptian|Falafel,3.6,5,restaurants,24.6675753,46.7333194,ChIJw3QygD4ELz4RjP4Gp0FiGrc
48,Mission Falafel - Riyadh,RESTAURANT,Sandwich|Arabic|Falafel|Breakfast,3.8,87,restaurants,24.66766105,46.73320251,ChIJw3QygD4ELz4RjP4Gp0FiGrc
49,Hashem,RESTAURANT,Sandwich|Fast Food|Arabic|Falafel,4.4,732,restaurants,24.667725,46.733273,ChIJw3QygD4ELz4RjP4Gp0FiGrc
50,SHALIMAR MUMTAZ RESTAURANT &amp; BAKERS,RESTAURANT,Indian,4.1,378,restaurants,24.6678035,46.7117402,ChIJ6RHxzWMELz4RCyAA0_Pd5n0
51,Ponnusamy,RESTAURANT,Asian|Indian|Vegetarian|Noodles,4,181,restaurants,24.6635425,46.7044087,ChIJ46ZC7YsELz4RVg1DtLLeWM8
52,Al Karama Sweets,RESTAURANT,Desserts,4.1,32,restaurants,24.669576,46.731899,ChIJF_VhiRUELz4Rra98hc8ZgQE
53,Al Mehbaj,RESTAURANT,Roastery,4.7,34,nuts_and_dried_fruits,24.66385214,46.70385649,ChIJmZNIDYkDLz4R1Z_nmBxNl7o
54,Salman Sweets,RESTAURANT,Desserts|Indian|Pakistani,3.3,22,restaurants,24.6692098,46.712534,ChIJIWQBpWMELz4RWHcaGm4ixO0
55,Al Mamlakah Sweets,RESTAURANT,Desserts|Pastries,4.7,41,restaurants,24.670622,46.730931,ChIJVdR7DxUELz4RgC2RTnI5D0c
56,Mugo land,RESTAURANT,Roastery,4.7,50,specialty_and_ethnic,24.6437536,46.6933715,ChIJh6EV9uYELz4R0XnA6v1M1L4
57,Wahat Al Aseer,RESTAURANT,Beverages|Juices,3,4,restaurants,24.6170456,46.7227435,ChIJoWqBbo4FLz4RHk3YWuICeCQ
58,Pizza Hut,RESTAURANT,Fast Food|Italian|Beverages|International|Pizza|Pasta|Salads,4.2,435,restaurants,24.6759146,46.7274594,ChIJH4d_Fm0ELz4RnJK_3-bX6RM
59,Tim Horton,RESTAURANT,Fast Food|Coffee,4.2,162,restaurants,24.666095,46.697692,ChIJt1RqbJAELz4Rj0i4_YJHynQ
60,Wasfa Pharmacy,OTHER,Pharmacy,4.7,115,pharmacies,24.62024364,46.70183612,ChIJXYgA1XIFLz4RLLzqyrylYHQ
61,Baja,RESTAURANT,Beverages|Coffee|Roastery,4.7,168,restaurants,24.67701,46.727088,ChIJF0WJZm0ELz4R76aHdcTLM4I
62,Cinnabon,RESTAURANT,Desserts|Beverages,4.2,310,restaurants,24.630152,46.691963,ChIJURC34RgFLz4RLXSHgmwrrL4
63,Golden Konafa,RESTAURANT,Desserts,4.6,27,restaurants,24.618341,46.745459,ChIJQXaZBf8FLz4RWZkh1_wOkY4
64,Ranosh,RESTAURANT,Sandwich|Coffee|Juices,4.7,72,restaurants,24.629651,46.691035,ChIJN9DTwRgFLz4R4zs5o7ApbRs
65,Sham sweets,RESTAURANT,Desserts,5,5,restaurants,24.6129625,46.710251,ChIJpfAev4IFLz4RVK0aXeWKndQ
66,Mille Feuille,RESTAURANT,Sandwich|Pastries,4.2,84,restaurants,24.679129,46.729099,ChIJK4bHOA0ELz4RbDqxt2kLxB8
67,SETTE,RESTAURANT,Sandwich|Desserts|American,4.8,72,restaurants,24.6793517,46.71910372,ChIJ2VAGUXcELz4RA_8_PgDg4LU
68,Serrano,RESTAURANT,Arabic,1.8,4,restaurants,24.6793712,46.7190769,ChIJ2VAGUXcELz4RA_8_PgDg4LU
69,Sweets Corner,RESTAURANT,Desserts,4.5,35,restaurants,24.679418,46.719377,ChIJ2VAGUXcELz4RA_8_PgDg4LU
70,Asian Taste,RESTAURANT,Asian,4,37,restaurants,24.6793506,46.7305577,ChIJE4wLcw0ELz4RYtIamVm-BGk
71,Meat Hub,RESTAURANT,Butchery &amp; Fishery,4.5,107,Butchery,24.677319,46.7080019,ChIJn8Xbk4AELz4RgVPSaddVpi0
72,Tanur Alfatirat Aldimashqiya,RESTAURANT,Sandwich|Arabic|Pizza|Pastries,4.2,178,restaurants,24.6699126,46.7511926,ChIJz5OYXJwGLz4Rj5FZQ7QUgZ4
73,Tolv,RESTAURANT,Sandwich|Desserts|Bakery|Breakfast,4.6,11,restaurants,24.6803565,46.7191064,ChIJmwY-X3cELz4RZ6NC1VARCJM
74,Karam Hommus Restaruant,RESTAURANT,Grill|Arabic|Pizza|Pastries,3.5,16,restaurants,24.654253,46.744504,ChIJe-AxxtQFLz4R70ZtBtXzxFo
75,Falafel Arafah,RESTAURANT,Sandwich|Fast Food|Arabic,4.1,116,restaurants,24.65533,46.744013,ChIJUbW6ytQFLz4RzcSaFquXF0Y
76,Qasr Al Rukn Al Shami,RESTAURANT,Grill|Arabic|Breakfast|Pastries,4.5,17,restaurants,24.637439,46.701838,ChIJH0RAVgIFLz4RwHJ7PdeA-pg
77,Pizza Corner,RESTAURANT,Fast Food|Beverages,4.6,85,restaurants,24.654863,46.744373,ChIJe-AxxtQFLz4R70ZtBtXzxFo
78,Anbar Al Sham,RESTAURANT,Arabic|Shawarma|Breakfast|Pastries,4.3,280,restaurants,24.654553,46.744566,ChIJe-AxxtQFLz4R70ZtBtXzxFo
79,Minha Multicuisine,RESTAURANT,Arabic,4.2,125,restaurants,24.6663537,46.7251639,ChIJW6Li4kEELz4RDTDAZ6EaDSs
80,Square house cafe -,RESTAURANT,Arabic|Coffee,5,1,restaurants,24.65811443,46.70503587,ChIJv2bqkvQELz4RbwepTtpz4pU
81,Mahboob,RESTAURANT,Sandwich|Beverages|Shawarma,4.4,453,restaurants,24.665218,46.731444,ChIJK-CGxD4ELz4RfKZsNZThX10
82,Pizza&amp; more,RESTAURANT,Arabic|Pizza,1.8,4,restaurants,24.65812257,46.70499147,ChIJv2bqkvQELz4RbwepTtpz4pU
83,Pastatti,RESTAURANT,Fast Food|Beverages|Pasta,4.7,15,restaurants,24.6652969,46.7314819,ChIJK-CGxD4ELz4RfKZsNZThX10
84,Minyaki,RESTAURANT,Asian|Noodles,4,148,restaurants,24.6286237,46.7390314,ChIJmZNIDYkDLz4R1Z_nmBxNl7o
85,Royal Tandor,RESTAURANT,Grill|Asian|Indian,4.3,283,restaurants,24.6286237,46.7390314,ChIJmZNIDYkDLz4R1Z_nmBxNl7o
86,Cheeso pizza,RESTAURANT,Italian|Juices|Pizza,3.2,4,restaurants,24.66528062,46.73157978,ChIJK-CGxD4ELz4RfKZsNZThX10
87,Zouq Maharaja,RESTAURANT,Grill|Asian|Arabic|Indian,4,237,restaurants,24.6287914,46.7394307,ChIJZYOC3uUFLz4Rw5zx3GgnLQQ
88,Madghout Raydan,RESTAURANT,Arabic,3.9,494,restaurants,24.637439,46.701205,ChIJxSTmwgIFLz4RxxrX81tRmKw
89,Al Baik,RESTAURANT,Sandwich|Fast Food|Arabic,4.1,11646,restaurants,24.6290159,46.7399009,ChIJn4Wx2-UFLz4R4-RAwyRU7rI
90,Cubano,RESTAURANT,Sandwich|Fast Food|Mexican|Healthy|Pasta,4.2,117,restaurants,24.628601,46.739527,ChIJRZqzxOUFLz4RCKbQCPiXS30
91,Grill &amp; Rice Restaurant,RESTAURANT,Sandwich|Fast Food|Healthy|Pasta,4.3,1052,restaurants,24.628601,46.739527,ChIJRZqzxOUFLz4RCKbQCPiXS30
92,Cone Zone,RESTAURANT,Desserts|Ice Cream,4.7,71,restaurants,24.665646,46.731484,ChIJ77265z4ELz4RbRnXL-ZAxiU
93,Mac Coy's,RESTAURANT,Sandwich|Fast Food|Grill|Shawarma,4,811,restaurants,24.6658717,46.731114,ChIJu-KH_j4ELz4RJ9AOEeQRIJw
94,Zaitoon,RESTAURANT,Asian|Indian,3.8,159,restaurants,24.66532323,46.71171414,ChIJ9YHjp2EELz4RXIYlhPHycjk
95,Lorenzo Pizza,RESTAURANT,Sandwich|Fast Food|Italian|International|Pizza|Pasta|Salads,4.5,537,restaurants,24.6576106,46.7017866,ChIJA_Fn3PIELz4RN4iZ7sa3z5g
96,Al Tazaj,RESTAURANT,Sandwich|Arabic|Beverages,4.4,517,restaurants,24.666225,46.711621,ChIJsXuKeWEELz4Rg0Mflko9kp4
97,Food Corner,RESTAURANT,Grill|Indian,4.2,288,restaurants,24.6669023,46.7129918,ChIJWTrlXGEELz4RhqHWRwACW5w
98,Remarkable Chicken,RESTAURANT,Burgers,2.4,5,restaurants,24.6683535,46.7302751,ChIJjWl44D8ELz4Ru_JK1oUrOiE
99,Samar Qandi,RESTAURANT,Arabic,4.2,577,restaurants,24.6261949,46.740407,ChIJ7V6nAuUFLz4RK3dAys4Hxaw
100,Baskin Robbins,RESTAURANT,Desserts|Beverages|Ice Cream,4.8,85,restaurants,24.6685609,46.7300365,ChIJjWl44D8ELz4Ru_JK1oUrOiE
101,Khana Khazana,RESTAURANT,Indian,4.1,485,restaurants,24.66720997,46.71252992,ChIJYbFoZGEELz4RDF4CoN6H92s
102,SPICE MASTER,RESTAURANT,Grill|Indian,3.7,204,restaurants,24.66730831,46.71221081,ChIJIc6Ge2EELz4R8ADbSDMnjRg
103,MEHFIL HYDERABADI RESTAURANT,RESTAURANT,Indian,4,306,restaurants,24.6676935,46.7117505,ChIJ6RHxzWMELz4RCyAA0_Pd5n0
104,Karak Address,RESTAURANT,Sandwich|Desserts|Beverages|Coffee,3.8,31,restaurants,24.670131,46.722288,ChIJzYYnN2kELz4RgertoDnWluM
105,Wasfa Pharmacy,OTHER,Pharmacy,4.3,43,pharmacies,24.63135373,46.74696554,ChIJY0sKG-IFLz4R4wm4hEbfQfc
106,Pasta flavours,RESTAURANT,Pasta,2.5,2,restaurants,24.6638286,46.7051395,ChIJ46ZC7YsELz4RVg1DtLLeWM8
107,Shrimplion,RESTAURANT,Seafood,1,1,restaurants,24.6638286,46.7051395,ChIJ46ZC7YsELz4RVg1DtLLeWM8
108,WORLD HUNTER,RESTAURANT,Seafood,4.4,42,restaurants,24.6638286,46.7051395,ChIJ46ZC7YsELz4RVg1DtLLeWM8
109,Bab Tuma,RESTAURANT,Fast Food|Arabic|Shawarma,4.3,1179,restaurants,24.6700633,46.7276229,ChIJF4sC22oELz4RhXGqkbVV56g
110,Al kornish corner,RESTAURANT,Sandwich|Fast Food|Burgers,4.5,415,restaurants,24.637441,46.696944,ChIJlQxfhB0FLz4R1p1UBJht9xI
111,McDonald's KSA,RESTAURANT,Sandwich|Fast Food|Desserts|American|Beverages|Coffee|International|Breakfast,4.1,1614,restaurants,24.6701709,46.7276316,ChIJF4sC22oELz4RhXGqkbVV56g
112,McCafé,RESTAURANT,Desserts|Bakery|Beverages|Coffee|Breakfast,4.2,6,restaurants,24.6704843,46.7276592,ChIJKSXv1moELz4R77E4RXfXSfY
113,Krispy Kreme Doughnuts,RESTAURANT,Desserts|Bakery|Beverages|Coffee,4.3,63,restaurants,24.663481,46.703758,ChIJmZNIDYkDLz4R1Z_nmBxNl7o
114,Chef World,RESTAURANT,Sandwich|Grill|Arabic|Falafel,4.5,47,restaurants,24.67084203,46.72223419,ChIJ4cz4zG4ELz4RUHFtbtuCxPU
115,Wahed Fool,RESTAURANT,Arabic|Breakfast,4.2,181,restaurants,24.660992,46.701261,ChIJlXemDY0ELz4RCLT5a8A8Hbk
116,Kabsrya,RESTAURANT,Arabic|Saudi,4,24,restaurants,24.6708859,46.7222409,ChIJ4cz4zG4ELz4RUHFtbtuCxPU
117,Lulu Hypermarket,OTHER,Supermarkets,4.4,3969,Hypermarket,24.6637625,46.7037656,ChIJmZNIDYkDLz4R1Z_nmBxNl7o
118,Al Baik,RESTAURANT,Fast Food,4.2,1896,restaurants,24.66379,46.7037895,ChIJmZNIDYkDLz4R1Z_nmBxNl7o
119,Subway,RESTAURANT,Fast Food|American,4.1,1050,restaurants,24.6612085,46.7011627,ChIJlXemDY0ELz4RCLT5a8A8Hbk
120,Adsam Alakalat,RESTAURANT,Fast Food,1,3,restaurants,24.66621275,46.7403975,ChIJFZav8iQELz4RPC8H1RpwrFA
121,Hala Fal Sweets,RESTAURANT,Desserts,3.7,3,restaurants,24.619521,46.73046005,ChIJ_U_57_IFLz4RrWbcou-_1hE
122,The shores of Mukalla Restaurant,RESTAURANT,Seafood,4.7,3,restaurants,24.6314112,46.7486089,ChIJeTfn7AkGLz4RvUEUbIwFdUI
123,Bandar Adan Sweets,RESTAURANT,Desserts,4.2,12,restaurants,24.6313813,46.7486315,ChIJeTfn7AkGLz4RvUEUbIwFdUI
124,Koshary Express,RESTAURANT,Sandwich|Grill|Egyptian,4.3,2141,restaurants,24.670863,46.730269,ChIJjxR6GRUELz4R0F-pCxoxep4
125,BURGER R,RESTAURANT,American|Burgers,2.4,5,restaurants,24.61865764,46.72793902,ChIJO8aLGI0FLz4Rb7xVjpY-BSQ
126,SHAWARMA CHICKEN MARK,RESTAURANT,Fast Food|International,4.4,16,restaurants,24.61865764,46.72793902,ChIJO8aLGI0FLz4Rb7xVjpY-BSQ
127,Madaras Biriyani,RESTAURANT,Fast Food|Arabic,4.2,218,restaurants,24.671,46.7307753,ChIJTQfkuhUELz4R-eScG_os0xM
128,Koshary El Tahrir,RESTAURANT,Egyptian,4.5,406,restaurants,24.6707075,46.7320137,ChIJn0TGpBUELz4RmDilIgqJRyY
129,Little Caesar's pizza,RESTAURANT,Fast Food|Italian|Pizza,4.4,298,restaurants,24.6708695,46.73225,ChIJ10bFxhUELz4RpAuTK7mrOVM
130,Fast Food Corner,RESTAURANT,Sandwich|Arabic|Beverages|Shawarma,3.6,9,restaurants,24.6306136,46.6981853,ChIJ-2HT6RoFLz4Rrm0beAXHOCM
131,Mission Wok,RESTAURANT,Asian|Japanese,2.3,3,restaurants,24.6712478,46.7321946,ChIJ10bFxhUELz4RpAuTK7mrOVM
132,Canton,RESTAURANT,Asian|Noodles,4.4,241,restaurants,24.6712478,46.7321946,ChIJ10bFxhUELz4RpAuTK7mrOVM
133,Shabyat Abozaid,RESTAURANT,Arabic|Saudi|Breakfast,4,595,restaurants,24.667688,46.70664,ChIJf0zH-IgELz4RwSPmQdQn7Hc
134,Ocean Fish Restaurants,RESTAURANT,Seafood,1,1,restaurants,24.6173811,46.7235562,ChIJqcUldY4FLz4Rxx-TrUoGjQ8
135,Shawaya House,RESTAURANT,Arabic|Saudi,4.3,639,restaurants,24.671343,46.733341,ChIJf-F3dRYELz4R9w7unau9hPc
136,Point rice Alhamra albukhari restaurants,RESTAURANT,Arabic,3.4,11,restaurants,24.64084552,46.69264703,ChIJDcU6zuYELz4RM5Lq0iPF-xo
137,Food House,RESTAURANT,Indian|Pakistani,4,26,restaurants,24.62873111,46.74944902,ChIJNSZ-eQgGLz4RB5YypSkx6JQ
138,Hashikom,RESTAURANT,Arabic|Saudi,4,752,restaurants,24.6709691,46.7371172,ChIJT3rTZj0ELz4RD9oglsCqjqI
139,Heta Iskandarani,RESTAURANT,Seafood|Egyptian,4.2,35,restaurants,24.63779906,46.69291615,ChIJmb65sOEELz4RegXpYzVEmGU
140,Sahel Alexandria Restaurant,RESTAURANT,Arabic|Seafood,3.9,218,restaurants,24.63778322,46.69291951,ChIJmb65sOEELz4RegXpYzVEmGU
141,Arab Island breakfast,RESTAURANT,Arabic,3.4,5,restaurants,24.6278951,46.697947,ChIJkfnQbRAFLz4RbTJ3W6XePIY
142,Arabia Island traditional food,RESTAURANT,Arabic,3.9,55,restaurants,24.6278951,46.697947,ChIJkfnQbRAFLz4RbTJ3W6XePIY
143,Fawal Al Taif,RESTAURANT,Arabic|Breakfast,4.2,315,restaurants,24.623042,46.744839,ChIJT_JdNfwFLz4Rj-aYIKDC1qI
144,Pizza Ram,RESTAURANT,Pizza|Pasta|Pastries,4.3,79,restaurants,24.671655,46.73731,ChIJ4VUq5hcELz4Rg2QkDbLS7UI
145,Sheikh Al Arab Pizza and Koshary,RESTAURANT,Arabic,3.9,65,restaurants,24.6151118,46.7199712,ChIJ0_xjCo8FLz4RO5WSRNFPc04
146,Arab Tajine,RESTAURANT,Egyptian,3.7,12,restaurants,24.6145945,46.7218705,ChIJZZv5wo4FLz4Rl_xABfwxLlI
147,Mento and Yaghamsh,RESTAURANT,Fast Food|Arabic,2.6,25,restaurants,24.6742393,46.71406339,ChIJgVIbg3wELz4Rw2APmvuh6z4
148,Awal foal,RESTAURANT,Arabic|Breakfast,4.2,301,restaurants,24.63203825,46.69261692,ChIJwS0H3h4FLz4RUwQapIDe88E
149,Al malaz Restaurant,RESTAURANT,Indian,4,281,restaurants,24.67278705,46.7084516,ChIJnT9ag4cELz4Rjddypht-oIk
150,Beit Al Biryani An Nasim,RESTAURANT,Grill|Indian,4.6,22,restaurants,24.6736804,46.7087615,ChIJfcokb4cELz4Rzrsdxx-lMLM
151,Liver shot,RESTAURANT,Arabic|Breakfast,3.5,14,restaurants,24.613424,46.7201201,ChIJRfvMOI8FLz4R11fPXjn-ZCk
152,ALHOOT ALAZRAAQ,RESTAURANT,Seafood,3.5,38,restaurants,24.61364449,46.7181332,ChIJdfbzkYUFLz4RS8smmsUI1lY
153,Karachi Biryani,RESTAURANT,Indian,4.6,300,restaurants,24.67300376,46.70715827,ChIJL4D4G4cELz4R9BHWiM_sE3E
154,MishGrill,RESTAURANT,Sandwich|Grill|Arabic,4.5,63,restaurants,24.6728913,46.7069026,ChIJL4D4G4cELz4R9BHWiM_sE3E
155,Gulf Toledo Restaurant,RESTAURANT,Indian,4.2,101,restaurants,24.673503,46.7078692,ChIJEzT2FocELz4RRpPUNNLtihI
156,Al Medhyaf,RESTAURANT,Desserts|Beverages|Coffee,4.6,45,restaurants,24.652633,46.689233,ChIJAVdn1sEELz4Rjyw08O_Vnb8
157,Kabida Wa Fulfil,RESTAURANT,Sandwich|Fast Food|Breakfast,4.3,243,restaurants,24.6535027,46.6889271,ChIJOdblcsAELz4Rn0-azJ2sBbY
158,Burgerie,RESTAURANT,Fast Food,4.1,126,restaurants,24.618718,46.745145,ChIJQXaZBf8FLz4RWZkh1_wOkY4
159,gimme gumme,RESTAURANT,Burgers,1,1,restaurants,24.6187368,46.7451753,ChIJQXaZBf8FLz4RWZkh1_wOkY4
160,Pizza One,RESTAURANT,Sandwich|Italian|Pizza|Pasta,4.5,40,restaurants,24.618572,46.745154,ChIJQXaZBf8FLz4RWZkh1_wOkY4
161,Bake &amp; Co.,RESTAURANT,Desserts|Bakery|Pastries,5,6,restaurants,24.67759274,46.72842129,ChIJn0YuVG0ELz4RNuo8eMgCZx0
162,Flflah,RESTAURANT,Sandwich|Falafel,4.1,148,restaurants,24.6238126,46.6954572,ChIJ_6c5XBEFLz4RiRJI4v3sJ6M
163,Ylmaz Resturant,RESTAURANT,Grill|Seafood,4.3,29,restaurants,24.6792786,46.7279697,ChIJ1aZU3XIELz4RYNR9CrjHLrc
164,Madhbi Alrahi,RESTAURANT,Arabic|Saudi,4.4,8,restaurants,24.6794808,46.72798806,ChIJFX5dxXIELz4R0pDyN3IENw4
165,Cook tok,RESTAURANT,Arabic,1,1,restaurants,24.6731681,46.7009291,ChIJf8AIeoMELz4R99LZesjEr4o
166,Meerath Kabab House,RESTAURANT,Grill|Arabic,3.9,10,restaurants,24.675689,46.69784128,ChIJVwATbp0ELz4RL3e1-mpwzQg
167,Caribou Coffee,RESTAURANT,Sandwich|Desserts|Beverages|Coffee,4.3,25,restaurants,24.674677,46.695699,ChIJ_x5r650ELz4RHvr7M9llJI8
168,Al Tazaj,RESTAURANT,Sandwich|Arabic|Beverages,4.3,125,restaurants,24.605349,46.730174,ChIJwRlvtl0PLz4RZ53Alby_g8M
169,Munchy's Broasted,RESTAURANT,Sandwich|Fast Food,4.8,12,restaurants,24.6046788,46.7326666,ChIJmZNIDYkDLz4R1Z_nmBxNl7o
170,Shawarmati,RESTAURANT,Sandwich|Fast Food|Shawarma|Juices,4,2,restaurants,24.6754523,46.6930861,ChIJVb3GuGEDLz4RV4_IjVApC0I
171,Burger King,RESTAURANT,Sandwich|Fast Food|American|International|Burgers,4.3,633,restaurants,24.680577,46.700692,ChIJGaFclXwDLz4RKJGaVTNdvHE
172,Ray Bokhari,RESTAURANT,Arabic|Saudi,4.7,18,restaurants,24.613282,46.693939,ChIJ0WCh5msFLz4Ra33iyN2SVpc
