id,place_name,is_restaurant,categories,average_rating,rate_count,granular_category,lat,lng,place_id
3757,Furn Alluqmat Altayiba Restaurant,RESTAURANT,Fast Food|Arabic|Pastries,3.6,5,restaurants,24.75895249,46.67435467,ChIJzakilkv9Lj4RzflmIDWWHRo
3758,DERATI EXPRESS,RESTAURANT,Grill|Arabic,4.1,590,restaurants,24.7909372,46.6326201,ChIJHxYydp3jLj4Rtbas34WQESY
3759,Reesha,RESTAURANT,Fast Food|Beverages|Shawarma,4.3,718,restaurants,24.791107,46.632551,ChIJHxYydp3jLj4Rtbas34WQESY
3760,JUNAYNAH,RESTAURANT,Sandwich|Fast Food|Grill|Shawarma,4.1,159,restaurants,24.7839314,46.6361266,ChIJN7K5ogvjLj4RGtpHN8iBBuU
3761,Bokhary Zabebah,RESTAURANT,Arabic|Saudi,4.4,542,restaurants,24.8003751,46.7391307,ChIJDfF57dH9Lj4RlJ_fACVbY3U
3762,caramella,RESTAURANT,Desserts,4.9,14,restaurants,24.8221985,46.6313746,ChIJlVMGL2DkLj4Rj1FOsFeVCNs
3763,TIKKA SITE,RESTAURANT,Arabic,4.4,47,restaurants,24.7587402,46.6745379,ChIJzakilkv9Lj4RzflmIDWWHRo
3764,basbousa pro,RESTAURANT,Desserts,5,2,restaurants,24.7587402,46.6745379,ChIJzakilkv9Lj4RzflmIDWWHRo
3765,b7 burger,RESTAURANT,Sandwich|Burgers,3.8,32,restaurants,24.7587352,46.674432,ChIJzakilkv9Lj4RzflmIDWWHRo
3766,Guven,RESTAURANT,Beverages,0,0,restaurants,24.7664229,46.71541915,ChIJmZNIDYkDLz4R1Z_nmBxNl7o
3767,Aresha Aorak enb,RESTAURANT,Arabic,4.3,178,restaurants,24.812827,46.629157,ChIJ2Sm423zkLj4RAuoZL1Fw808
3768,Booze Coffee,RESTAURANT,Desserts|Beverages|Coffee,0,0,restaurants,24.7662708,46.7153749,ChIJmZNIDYkDLz4R1Z_nmBxNl7o
3769,The Truffleers,RESTAURANT,Desserts,3.8,6,restaurants,24.76628541,46.71540172,ChIJmZNIDYkDLz4R1Z_nmBxNl7o
3770,NOXY Cafe,RESTAURANT,Desserts|Coffee,4,1,restaurants,24.77042085,46.64767762,ChIJlwk3B-HiLj4RfLaF--cNl0U
3771,Bab Mashwi,RESTAURANT,Grill|Arabic,0,0,restaurants,24.7651143,46.7135811,ChIJZf8RhYP9Lj4RaWfF0HLN-Qc
3772,Balah and Honey Sweets,RESTAURANT,Desserts|Arabic,4.4,123,restaurants,24.813325,46.628966,ChIJO4NT0HzkLj4RAD0AjkRTbBM
3773,Al Fateera Al Demashqya,RESTAURANT,Arabic|Shawarma|Pizza|Pastries,4.2,594,restaurants,24.774899,46.726627,ChIJLwNj4ZL9Lj4Rous_SbTqMEs
3774,Om Ali,RESTAURANT,Desserts|Grill|Seafood|Egyptian|Juices|Meat,4.4,594,restaurants,24.7859124,46.6341094,ChIJnc3ICQvjLj4RScH9-BM2hiM
3775,Black hand coffee,RESTAURANT,Desserts|Coffee,0,0,restaurants,24.8174156,46.7397932,ChIJLbH6TCT8Lj4R_3w2GMNOGkk
3776,Forti Pizzeria,RESTAURANT,Italian,4.3,48,restaurants,24.78526131,46.63412174,ChIJjxsTIAvjLj4RCGCQYA758Ek
3777,Halawiyati,RESTAURANT,Desserts,5,2,restaurants,24.85439617,46.65998678,ChIJmZNIDYkDLz4R1Z_nmBxNl7o
3778,Tick Tick Tikka,RESTAURANT,Indian,5,1,restaurants,24.7578714,46.6957956,ChIJAQqdaWT9Lj4RLoWVmkpbhM4
3779,oiso sushi,RESTAURANT,Asian|Sushi|Japanese,4.4,265,restaurants,24.784998,46.6339813,ChIJmZNIDYkDLz4R1Z_nmBxNl7o
3780,Medar,RESTAURANT,Seafood,3.9,131,restaurants,24.7794546,46.6374129,ChIJPUjVQw_jLj4R05EjOD56_t0
3781,SPAR,OTHER,Supermarkets,4.3,186,supermarket,24.785491,46.633551,ChIJ8w2exwrjLj4RqcNwf1ZVj8k
3782,Shawarma Jalila,RESTAURANT,Fast Food|Grill|Shawarma,4.2,3184,restaurants,24.779793,46.637063,ChIJO5XmOQ_jLj4RXZTVzfVuxeQ
3783,Buthaina for Laqimat,RESTAURANT,Desserts,4.1,100,restaurants,24.786205,46.633051,ChIJywYAuArjLj4R3ty5yf8hoqE
3784,Flavors,RESTAURANT,Desserts,4.4,28,restaurants,24.82741425,46.63158717,ChIJDeHyZ1_kLj4R0UDv_rM8Z7o
3785,COCANI CAFE,RESTAURANT,Desserts|Coffee,4,26,restaurants,24.8335005,46.7342728,ChIJg-owSw78Lj4RJRg5YcfZHXA
3786,CHOLLA,RESTAURANT,Coffee,4.2,159,restaurants,24.8085625,46.6274375,ChIJv8EBB3zkLj4RFSe6YJUkOsk
3787,CFl Cafe COFFEE &amp; FLOWER,RESTAURANT,Desserts|Bakery|Coffee,4.4,526,restaurants,24.7937568,46.6297028,ChIJtXrp6JzjLj4R1Ug7FFlIoRA
3788,Just crispy,RESTAURANT,Fast Food|American|Burgers,4.2,853,restaurants,24.7965161,46.6289053,ChIJyUKjqIPjLj4RsKm8E6-Is_M
3789,Sana3,RESTAURANT,Desserts,5,1,restaurants,24.81920904,46.62871249,ChIJTQNpaWHkLj4RRmHGTNlO5pU
3790,Shawarma Abu Rayan,RESTAURANT,Sandwich|Arabic|Beverages|Shawarma,4.4,349,restaurants,24.79658793,46.62882556,ChIJyUKjqIPjLj4RsKm8E6-Is_M
3791,Hessah's mother's juices,RESTAURANT,Beverages|Juices,0,0,restaurants,24.7572366,46.6733434,ChIJ88o5Y0z9Lj4RKTpR2GN2a_0
3792,Awani,RESTAURANT,International,3.8,322,restaurants,24.7647055,46.7158738,ChIJmZNIDYkDLz4R1Z_nmBxNl7o
3793,MEATTERS,RESTAURANT,Fast Food|American|Burgers,0,0,restaurants,24.79629072,46.62862716,ChIJN3DyBYPjLj4R3M_J0HF7ARY
3794,Meetup Cafe &amp; Pastry,RESTAURANT,Desserts|Coffee,5,2,restaurants,24.80936313,46.62708657,ChIJ2-Yqi3vkLj4RYgaKDWlfAPI
3795,Shawarma Kiosk,RESTAURANT,Sandwich|Shawarma,2,1,restaurants,24.757032,46.6736491,ChIJwe_CXEz9Lj4R9_imQ-gK9QU
3796,COOKIESN'CREAM,RESTAURANT,Desserts,4.4,140,restaurants,24.7560438,46.6842733,ChIJMQNdR1v9Lj4Rf9lxZFc4RXk
3797,1/4Habbah,RESTAURANT,Arabic|Saudi,4.3,145,restaurants,24.7572706,46.6972252,ChIJX992f2T9Lj4RWEKg5fZDRXc
3798,TACOS STATION,RESTAURANT,Sandwich,4.1,70,restaurants,24.7572164,46.6971667,ChIJ6ShpeWT9Lj4RSoaZPElv7As
3799,Indiano,RESTAURANT,Fast Food|Indian|Beverages,4.2,51,restaurants,24.75693214,46.67315833,ChIJwe_CXEz9Lj4R9_imQ-gK9QU
3800,BARRRID,RESTAURANT,Ice Cream,4.8,18,restaurants,24.825806,46.7388306,ChIJtTmUFRj8Lj4RJHVOvgiYdss
3801,The60Pasta,RESTAURANT,Italian|Pasta,4.5,192,restaurants,24.7568839,46.6733383,ChIJwe_CXEz9Lj4R9_imQ-gK9QU
3802,CARO,RESTAURANT,Healthy|Juices,4.5,109,restaurants,24.7569104,46.6731614,ChIJwe_CXEz9Lj4R9_imQ-gK9QU
3803,Aseeb Restaurant,RESTAURANT,Arabic,4.2,520,restaurants,24.8127976,46.6270424,ChIJ343QrWTkLj4RGckkDC-gLEE
3804,Ohm’s,RESTAURANT,Desserts|Coffee,4.8,23,restaurants,24.7809548,46.6352006,ChIJ6ah2GQnjLj4RmoRESGrBo0Y
3805,Makan Al Kunafa,RESTAURANT,Desserts,4.1,176,restaurants,24.785359,46.632531,ChIJwW3rpgrjLj4R6BoZxjcCX0Q
3806,Da Jamaican Kitchen,RESTAURANT,Arabic,5,2,restaurants,24.7806901,46.6352939,ChIJ6ah2GQnjLj4RmoRESGrBo0Y
3807,Zoom BURGER,RESTAURANT,American|Burgers,0,0,restaurants,24.7563474,46.6757597,ChIJjfk4d079Lj4RCdy4P1rvNh0
3808,ORZA,RESTAURANT,Arabic,4.6,41,restaurants,24.78068795,46.6352605,ChIJ6ah2GQnjLj4RmoRESGrBo0Y
3809,DazzLing,RESTAURANT,Desserts,3,2,restaurants,24.78061801,46.63526513,ChIJ6ah2GQnjLj4RmoRESGrBo0Y
3810,Meltzone,RESTAURANT,Sandwich|Fast Food|American|Burgers,4.5,31,restaurants,24.75623658,46.67569264,ChIJjfk4d079Lj4RCdy4P1rvNh0
3811,GREEN  ROOTS,RESTAURANT,Sandwich|Beverages|Healthy|Salads,4.2,67,restaurants,24.7806656,46.635124,ChIJ6ah2GQnjLj4RmoRESGrBo0Y
3812,GOLD by VOX Cinemas,RESTAURANT,Sandwich|Beverages,4,5,restaurants,24.838391,46.732095,ChIJmZNIDYkDLz4R1Z_nmBxNl7o
3813,Veloce,RESTAURANT,Desserts|Beverages,4.1,536,restaurants,24.800016,46.627164,ChIJ0ceaKofjLj4RVtqQIdHg_eg
3814,BURGEREGO,RESTAURANT,Burgers,3.9,38,restaurants,24.8114933,46.6265484,ChIJRfTXWHvkLj4RByMpb5-v6jQ
3815,AL Tazej,RESTAURANT,Sandwich|Arabic|Beverages,4.3,2080,restaurants,24.7996832,46.6272027,ChIJhdvRW4HjLj4RstFFOu2dEm4
3816,cute cat,OTHER,Pets,4.7,15,Pets,24.812383,46.6265787,ChIJlVV4qHzkLj4RrZe22fM6y_Y
3817,Alien Sub,RESTAURANT,Sandwich|Fast Food|Italian|American|International,4.4,22,restaurants,24.7980067,46.62748223,ChIJzU-v7YPjLj4RN9AQ3DkxgOM
3818,tacos de paris,RESTAURANT,Arabic,4.1,18,restaurants,24.7978394,46.62751408,ChIJzU-v7YPjLj4RN9AQ3DkxgOM
3819,Dar Hira,RESTAURANT,Arabic|Saudi,4.3,632,restaurants,24.7934267,46.6286973,ChIJtXrp6JzjLj4RqDgKCfJnzHA
3820,REMOLA SWEETS,RESTAURANT,Desserts,0,0,restaurants,24.7979169,46.6274705,ChIJzU-v7YPjLj4RN9AQ3DkxgOM
